GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000","United States", ,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182325100,186235800,190317800,193368900,196132200
 "00000","United States", ,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",137334000,136301000,135967000,137404000,139341000,141660000,143170000,142584000,136242000,135393000,136918000,139619000,141932000,144722000,147635000,149904000,151825000
 "00000","United States", ,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",28188200,28794100,29954500,31435700,32997400,34208600,36373700,36629900,37394700,37508700,39173700,39360700,40393100,41513800,42682800,43464900,44307200
 "00000","United States", ,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",2190000,2032000,1953000,1894000,1875000,1827000,1914000,1897000,1884000,1882000,1876000,1844000,1856000,1842000,1832000,1823000,1812000
 "00000","United States", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",25998200,26762100,28001500,29541700,31122400,32381600,34459700,34732900,35510700,35626700,37297700,37516700,38537100,39671800,40850800,41641900,42495200
 "00000","United States", ,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",3063000,2904000,2838000,2719000,2656000,2579000,2665000,2629000,2624000,2636000,2639000,2623000,2645000,2645000,2649000,2643000,2631000
 "00000","United States", ,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",162459200,162191100,163083500,166120700,169682400,173289600,176878700,176584900,171012700,170265700,173452700,176356700,179680100,183590800,187668800,190725900,193501200
 "00000","United States", ,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",139308200,138616100,139408500,142403700,145860400,149302600,152648700,151995900,146330700,145593700,149162700,152252700,155625100,159536800,163523800,166427900,169096200
 "00000","United States", ,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",801500,842700,785300,811500,829400,825500,846600,861200,832400,852400,856600,885400,909100,941000,915900,935200,926400
 "00000","United States", ,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",808400,748000,800200,779400,833600,930200,1012300,1213200,1126600,1269000,1244000,1551200,1607000,1597500,1553300,1452200,1511100
 "00000","United States", ,CAEMP25N,300,"22","   Utilities","Number of jobs",615800,599600,583200,575400,569900,570700,580600,597300,589800,582200,575500,577600,578300,580600,597400,622000,663500
 "00000","United States", ,CAEMP25N,400,"23","   Construction","Number of jobs",9816700,9668800,9900300,10337600,10965800,11413900,11400000,10769800,9424900,8770700,8744800,8933800,9237800,9564300,9844900,10322100,10634600
 "00000","United States", ,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",16921600,15745700,14975000,14790900,14724200,14675200,14460800,13971300,12478200,12092900,12376700,12596200,12761200,12908600,13076600,13131900,13304800
 "00000","United States", ,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",6233400,6100800,6063500,6183500,6334500,6481800,6573600,6516600,6130300,6020000,6154300,6240500,6343100,6720600,6819100,6464400,6478900
